"cmdName","Description","Link","Authors","Letter"
"arrowplot","stata module to produce combined plot for graphing inter-group and intra-group trends","https://econpapers.repec.org/software/bocbocode/s457893.htm","`Damian Clarke`","A"
"art","stata module to compute sample size and power for complex randomised trial designs with binary or time-to-event outcomes","https://econpapers.repec.org/software/bocbocode/s458117.htm","`Abdel Babiker`,` Friederike Maria`-`Sophie Barthel`,` Babak Choodari`-`Oskooei`,` Patrick Royston`,` Ella Marley`-`Zagar`,` Ian White`","A"
"artbin","stata module to calculate sample size or power for randomized trials with binary outcomes","https://econpapers.repec.org/software/bocbocode/s459282.htm","`Abdel Babiker`,` Friederike Maria`-`Sophie Barthel`,` Babak Choodari`-`Oskooei`,` Patrick Royston`,` Ella Marley`-`Zagar`,` Ian White`","A"
"artcat","stata module to calculate sample size or power for a two-group trial with ordered categorical outcome","https://econpapers.repec.org/software/bocbocode/s459259.htm","`Ian R`.` White`,` Ella Marley`-`Zagar`,` Tim P`.` Morris`,` Mahesh K`.` B`.` Parmar`,` Patrick Royston`,` Abdel G`.` Babiker`","A"
"ascii","stata module to display the ascii character set","https://econpapers.repec.org/software/bocbocode/s456783.htm","`Adrian Mander`","A"
"asciiplot","stata module to generate ascii character map","https://econpapers.repec.org/software/bocbocode/s456809.htm","`Michael Blasnik`,` Svend Juul`,` Nicholas Cox`","A"
"ascol","stata module to convert frequency of stock returns or stock prices","https://econpapers.repec.org/software/bocbocode/s458082.htm","`Attaullah Shah`","A"
"ascomp","gauss module to transform data into cumulative positive and negative components","https://econpapers.repec.org/software/bocbocode/g00015.htm","`Abdulnasser Hatemi`-`J`","A"
"ascvd","stata module to compute acc/aha 10-year risk for an initial hard atherosclerotic cardiovascular disease (ascvd) event","https://econpapers.repec.org/software/bocbocode/s459162.htm","`Ariel Linden`","A"
"asdoc","stata module to create high-quality tables in ms word from stata output","https://econpapers.repec.org/software/bocbocode/s458466.htm","`Attaullah Shah`","A"
"asgen","stata module to generate weighted average mean using an existing variable as weight","https://econpapers.repec.org/software/bocbocode/s458409.htm","`Attaullah Shah`","A"
"ashell","stata module to capture output from os shell command","https://econpapers.repec.org/software/bocbocode/s456833.htm","`Nikos Askitas`","A"
"asl_norm","stata module computing bootstrap gaussianity tests","https://econpapers.repec.org/software/bocbocode/s457648.htm","`Maarten Buis`","A"
"asreg","stata module to estimate rolling window regressions, fama-macbeth and by(group) regressions","https://econpapers.repec.org/software/bocbocode/s458339.htm","`Attaullah Shah`","A"
"asrol","stata module to generate rolling window / groups descriptive statistics","https://econpapers.repec.org/software/bocbocode/s458075.htm","`Attaullah Shah`","A"
"assertky","stata module to assert unique dataset keys","https://econpapers.repec.org/software/bocbocode/s456785.htm","`David Kantor`","A"
"astile","stata module to provide a faster and byable alternative for xtile","https://econpapers.repec.org/software/bocbocode/s458321.htm","`Attaullah Shah`","A"
"astx","stata module to create a table of descriptive statistics and t-statistics by a grouping variable","https://econpapers.repec.org/software/bocbocode/s458338.htm","`Attaullah Shah`","A"
"asym_caus","c++ module for transforming an integrated variable with deterministic trend parts into negative and positive cumulative partial sums","https://econpapers.repec.org/software/bocbocode/cpp001.htm","`Youssef El`-`Khatib`,` Abdulnasser Hatemi`-`J`","A"
"atkplot","stata module to generate atkinson residual normality plots","https://econpapers.repec.org/software/bocbocode/s414901.htm","`Stanislav Kolenikov`","A"
"attregtest","stata module to implement the regression-based attrition tests proposed in ghanem et al. (2022)","https://econpapers.repec.org/software/bocbocode/s459125.htm","`Dalia Ghanem`,` Sarojini Hirshleifer`,` Karen Ortiz`-`Becerra`","A"
"audit_cc","stata module for analysis of matched case-control audits of cervical cancer screening","https://econpapers.repec.org/software/bocbocode/s459188.htm","`Milena Falcaro`","A"
"autofill","stata module to fill missing values with existing values","https://econpapers.repec.org/software/bocbocode/s458997.htm","`Xia P`.`S`.","A"
"autofmt","stata module to automatically format a significant number of digits","https://econpapers.repec.org/software/bocbocode/s457082.htm","`Roy Wada`","A"
"autolog","stata module to generate dialog to create log files","https://econpapers.repec.org/software/bocbocode/s430002.htm","`Ian Watson`","A"
"autorename","stata module to automatically rename variables","https://econpapers.repec.org/software/bocbocode/s456997.htm","`Julian Reif`","A"
"autosum","stata module to produce automatic generation of a comparison table","https://econpapers.repec.org/software/bocbocode/s458515.htm","`Sheung Yung`","A"
"avar","stata module to perform asymptotic covariance estimation for iid and non-iid data robust to heteroskedasticity, autocorrelation, 1- and 2-way clustering, and common cross-panel autocorrelated disturbances","https://econpapers.repec.org/software/bocbocode/s457689.htm","`Christopher Baum`,` Mark Schaffer`","A"
"avciplot","stata module to produce added-variable plot with confidence intervals","https://econpapers.repec.org/software/bocbocode/s458637.htm","`John Luke Gallup`","A"
